unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1498334340,2017-06-24 19:59:00,BTC/USD,2529.00,2529.01,2526.00,2528.21,5.96108774,15070.8816351454
1498330740,2017-06-24 18:59:00,BTC/USD,2561.89,2567.81,2561.69,2567.81,5.33870542,13708.7811645302
1498327140,2017-06-24 17:59:00,BTC/USD,2609.30,2615.50,2605.76,2614.37,40.78386050,106624.101375385
1498323540,2017-06-24 16:59:00,BTC/USD,2620.03,2625.35,2620.00,2620.01,7.07774142,18543.7532978142
1498319940,2017-06-24 15:59:00,BTC/USD,2662.45,2662.48,2656.56,2662.48,0.68175557,1815.1605700136
1498316340,2017-06-24 14:59:00,BTC/USD,2617.64,2624.79,2612.26,2624.79,29.00649059,76135.9464357261
1498312740,2017-06-24 13:59:00,BTC/USD,2621.96,2625.77,2615.00,2617.64,54.85476178,143590.0186257992
1498309140,2017-06-24 12:59:00,BTC/USD,2709.67,2711.65,2702.10,2711.19,3.50607151,9505.6260171969
1498305540,2017-06-24 11:59:00,BTC/USD,2707.69,2707.69,2707.24,2707.24,1.25000000,3384.0499999999997
1498301940,2017-06-24 10:59:00,BTC/USD,2715.00,2715.00,2715.00,2715.00,0.00000000,0.0
1498298340,2017-06-24 09:59:00,BTC/USD,2707.26,2711.18,2707.26,2711.18,5.25237781,14240.141670915798
1498294740,2017-06-24 08:59:00,BTC/USD,2718.36,2718.36,2718.36,2718.36,0.00000000,0.0
1498291140,2017-06-24 07:59:00,BTC/USD,2703.14,2706.14,2703.14,2706.14,3.14274703,8504.7134477642
1498287540,2017-06-24 06:59:00,BTC/USD,2708.19,2709.84,2704.13,2704.13,9.23280000,24966.691464
1498283940,2017-06-24 05:59:00,BTC/USD,2722.70,2723.94,2722.70,2723.93,8.23314865,22426.5206021945
1498280340,2017-06-24 04:59:00,BTC/USD,2703.63,2703.63,2703.63,2703.63,0.07100000,191.95773
1498276740,2017-06-24 03:59:00,BTC/USD,2699.52,2699.65,2699.36,2699.36,0.57394745,1549.2907886320002
1498273140,2017-06-24 02:59:00,BTC/USD,2707.20,2707.26,2707.20,2707.24,10.80325102,29246.993291384795
1498269540,2017-06-24 01:59:00,BTC/USD,2691.61,2698.91,2691.61,2698.91,1.06013611,2861.2119486400998
1498265940,2017-06-24 00:59:00,BTC/USD,2706.29,2706.32,2700.83,2700.83,8.34278282,22532.438123740598
1498262340,2017-06-23 23:59:00,BTC/USD,2683.42,2685.05,2683.42,2685.05,2.52746694,6786.375107247
1498258740,2017-06-23 22:59:00,BTC/USD,2703.01,2703.95,2701.27,2703.86,2.43130401,6573.9056604786
1498255140,2017-06-23 21:59:00,BTC/USD,2711.01,2713.24,2711.01,2713.22,5.04685911,13693.2390744342
1498251540,2017-06-23 20:59:00,BTC/USD,2723.74,2723.74,2723.74,2723.74,1.07761602,2935.1458583147996
1498247940,2017-06-23 19:59:00,BTC/USD,2720.74,2725.00,2720.72,2725.00,14.31289354,39002.6348965
1498244340,2017-06-23 18:59:00,BTC/USD,2725.11,2725.11,2721.25,2723.00,1.38789736,3779.24451128
1498240740,2017-06-23 17:59:00,BTC/USD,2731.04,2733.77,2731.01,2733.57,0.31804320,869.3933502240001
1498237140,2017-06-23 16:59:00,BTC/USD,2734.00,2734.00,2730.32,2730.64,0.22587948,616.7955432672
1498233540,2017-06-23 15:59:00,BTC/USD,2725.97,2727.75,2725.96,2727.75,4.73463367,12914.8969933425
1498229940,2017-06-23 14:59:00,BTC/USD,2727.46,2729.99,2727.26,2729.98,0.74733200,2040.20141336
1498226340,2017-06-23 13:59:00,BTC/USD,2713.86,2714.85,2712.19,2714.85,17.75281379,48196.2265177815
1498222740,2017-06-23 12:59:00,BTC/USD,2716.99,2716.99,2710.54,2712.86,0.46686723,1266.5454335778002
1498219140,2017-06-23 11:59:00,BTC/USD,2718.49,2718.49,2718.00,2718.00,1.65684052,4503.29253336
1498215540,2017-06-23 10:59:00,BTC/USD,2719.32,2719.32,2719.32,2719.32,0.17499000,475.85380680000003
1498211940,2017-06-23 09:59:00,BTC/USD,2705.35,2705.35,2705.05,2705.07,0.30000000,811.5210000000001
1498208340,2017-06-23 08:59:00,BTC/USD,2703.46,2703.46,2703.46,2703.46,6.90211061,18659.5799497106
1498204740,2017-06-23 07:59:00,BTC/USD,2711.93,2712.00,2711.93,2712.00,3.85035453,10442.16148536
1498201140,2017-06-23 06:59:00,BTC/USD,2713.94,2714.61,2710.06,2714.61,8.17216487,22184.2404777507
1498197540,2017-06-23 05:59:00,BTC/USD,2729.18,2729.18,2729.18,2729.18,0.11900000,324.77241999999995
1498193940,2017-06-23 04:59:00,BTC/USD,2730.16,2733.40,2730.02,2731.01,4.84402586,13229.083063918602
1498190340,2017-06-23 03:59:00,BTC/USD,2729.87,2729.87,2729.73,2729.73,3.08109128,8410.5472997544
1498186740,2017-06-23 02:59:00,BTC/USD,2727.00,2729.12,2727.00,2729.12,1.16467965,3178.550526408
1498183140,2017-06-23 01:59:00,BTC/USD,2730.32,2731.50,2725.71,2731.50,2.64291978,7219.13537907
1498179540,2017-06-23 00:59:00,BTC/USD,2717.58,2717.58,2717.58,2717.58,1.00000000,2717.58
